start_time,home_team,away_team
2024-03-04 23:15:00,Vilaverdense,PACOS FERREIRA
2024-03-04 23:15:00,Famalicao,BOAVISTA
2024-03-05 00:00:00,S. Wanderers,Santa Cruz
2024-03-05 00:00:00,Def. Sporting,Flamengo U20
2024-03-05 01:00:00,Copiapo,U. de Chile
2024-03-05 01:00:00,Central Cordoba  Reserve,Estudiantes de la Plata Reserves
2024-03-05 01:00:00,Sampaio Correa,Tuntum MA
2024-03-05 01:00:00,Cavaliers FC,Humble Lions FC
2024-03-05 01:30:00,Tacuary,Sol de America
2024-03-05 02:00:00,Cascavel,Maringa FC
2024-03-05 02:05:00,Barranquilla,Real San Andres
2024-03-05 02:30:00,Barnechea,Curico Unido
2024-03-05 03:00:00,LDU Quito,Macara
2024-03-05 03:00:00,Lobos UPNFM,CD Genesis
2024-03-05 03:00:00,Instituto Atletico,Huracan
2024-03-05 03:10:00,San Martin de T.,Quilmes
2024-03-05 03:30:00,Dunbeholden FC,Harbour View
2024-03-05 04:00:00,San Miguelito,Atletico Ind.
2024-03-05 04:00:00,Municipal S. A.,Guadalupe
